image_path,mask_path,num_classes
./processed/ISIC2018\images\165.png,./processed/ISIC2018\masks\165.png,2
./processed/ISIC2018\images\20.png,./processed/ISIC2018\masks\20.png,2
./processed/ISIC2018\images\548.png,./processed/ISIC2018\masks\548.png,2
./processed/ISIC2018\images\537.png,./processed/ISIC2018\masks\537.png,2
./processed/ISIC2018\images\192.png,./processed/ISIC2018\masks\192.png,2
./processed/ISIC2018\images\200.png,./processed/ISIC2018\masks\200.png,2
./processed/ISIC2018\images\421.png,./processed/ISIC2018\masks\421.png,2
./processed/ISIC2018\images\181.png,./processed/ISIC2018\masks\181.png,2
./processed/ISIC2018\images\536.png,./processed/ISIC2018\masks\536.png,2
./processed/ISIC2018\images\179.png,./processed/ISIC2018\masks\179.png,2
./processed/ISIC2018\images\400.png,./processed/ISIC2018\masks\400.png,2
./processed/ISIC2018\images\633.png,./processed/ISIC2018\masks\633.png,2
./processed/ISIC2018\images\830.png,./processed/ISIC2018\masks\830.png,2
./processed/ISIC2018\images\840.png,./processed/ISIC2018\masks\840.png,2
./processed/ISIC2018\images\584.png,./processed/ISIC2018\masks\584.png,2
./processed/ISIC2018\images\589.png,./processed/ISIC2018\masks\589.png,2
./processed/ISIC2018\images\183.png,./processed/ISIC2018\masks\183.png,2
./processed/ISIC2018\images\108.png,./processed/ISIC2018\masks\108.png,2
./processed/ISIC2018\images\479.png,./processed/ISIC2018\masks\479.png,2
./processed/ISIC2018\images\137.png,./processed/ISIC2018\masks\137.png,2
./processed/ISIC2018\images\136.png,./processed/ISIC2018\masks\136.png,2
./processed/ISIC2018\images\395.png,./processed/ISIC2018\masks\395.png,2
./processed/ISIC2018\images\249.png,./processed/ISIC2018\masks\249.png,2
./processed/ISIC2018\images\831.png,./processed/ISIC2018\masks\831.png,2
./processed/ISIC2018\images\579.png,./processed/ISIC2018\masks\579.png,2
./processed/ISIC2018\images\703.png,./processed/ISIC2018\masks\703.png,2
./processed/ISIC2018\images\664.png,./processed/ISIC2018\masks\664.png,2
./processed/ISIC2018\images\259.png,./processed/ISIC2018\masks\259.png,2
./processed/ISIC2018\images\627.png,./processed/ISIC2018\masks\627.png,2
./processed/ISIC2018\images\800.png,./processed/ISIC2018\masks\800.png,2
./processed/ISIC2018\images\629.png,./processed/ISIC2018\masks\629.png,2
./processed/ISIC2018\images\258.png,./processed/ISIC2018\masks\258.png,2
./processed/ISIC2018\images\642.png,./processed/ISIC2018\masks\642.png,2
./processed/ISIC2018\images\734.png,./processed/ISIC2018\masks\734.png,2
./processed/ISIC2018\images\649.png,./processed/ISIC2018\masks\649.png,2
./processed/ISIC2018\images\443.png,./processed/ISIC2018\masks\443.png,2
./processed/ISIC2018\images\33.png,./processed/ISIC2018\masks\33.png,2
./processed/ISIC2018\images\484.png,./processed/ISIC2018\masks\484.png,2
./processed/ISIC2018\images\40.png,./processed/ISIC2018\masks\40.png,2
./processed/ISIC2018\images\591.png,./processed/ISIC2018\masks\591.png,2
./processed/ISIC2018\images\111.png,./processed/ISIC2018\masks\111.png,2
./processed/ISIC2018\images\100.png,./processed/ISIC2018\masks\100.png,2
./processed/ISIC2018\images\669.png,./processed/ISIC2018\masks\669.png,2
./processed/ISIC2018\images\329.png,./processed/ISIC2018\masks\329.png,2
./processed/ISIC2018\images\497.png,./processed/ISIC2018\masks\497.png,2
./processed/ISIC2018\images\516.png,./processed/ISIC2018\masks\516.png,2
./processed/ISIC2018\images\463.png,./processed/ISIC2018\masks\463.png,2
./processed/ISIC2018\images\452.png,./processed/ISIC2018\masks\452.png,2
./processed/ISIC2018\images\299.png,./processed/ISIC2018\masks\299.png,2
./processed/ISIC2018\images\544.png,./processed/ISIC2018\masks\544.png,2
./processed/ISIC2018\images\576.png,./processed/ISIC2018\masks\576.png,2
./processed/ISIC2018\images\469.png,./processed/ISIC2018\masks\469.png,2
./processed/ISIC2018\images\390.png,./processed/ISIC2018\masks\390.png,2
./processed/ISIC2018\images\572.png,./processed/ISIC2018\masks\572.png,2
./processed/ISIC2018\images\106.png,./processed/ISIC2018\masks\106.png,2
./processed/ISIC2018\images\322.png,./processed/ISIC2018\masks\322.png,2
./processed/ISIC2018\images\118.png,./processed/ISIC2018\masks\118.png,2
./processed/ISIC2018\images\419.png,./processed/ISIC2018\masks\419.png,2
./processed/ISIC2018\images\298.png,./processed/ISIC2018\masks\298.png,2
./processed/ISIC2018\images\636.png,./processed/ISIC2018\masks\636.png,2
./processed/ISIC2018\images\785.png,./processed/ISIC2018\masks\785.png,2
./processed/ISIC2018\images\881.png,./processed/ISIC2018\masks\881.png,2
./processed/ISIC2018\images\807.png,./processed/ISIC2018\masks\807.png,2
./processed/ISIC2018\images\404.png,./processed/ISIC2018\masks\404.png,2
./processed/ISIC2018\images\764.png,./processed/ISIC2018\masks\764.png,2
./processed/ISIC2018\images\563.png,./processed/ISIC2018\masks\563.png,2
./processed/ISIC2018\images\281.png,./processed/ISIC2018\masks\281.png,2
./processed/ISIC2018\images\311.png,./processed/ISIC2018\masks\311.png,2
./processed/ISIC2018\images\182.png,./processed/ISIC2018\masks\182.png,2
./processed/ISIC2018\images\86.png,./processed/ISIC2018\masks\86.png,2
./processed/ISIC2018\images\487.png,./processed/ISIC2018\masks\487.png,2
./processed/ISIC2018\images\735.png,./processed/ISIC2018\masks\735.png,2
./processed/ISIC2018\images\354.png,./processed/ISIC2018\masks\354.png,2
./processed/ISIC2018\images\264.png,./processed/ISIC2018\masks\264.png,2
./processed/ISIC2018\images\742.png,./processed/ISIC2018\masks\742.png,2
./processed/ISIC2018\images\654.png,./processed/ISIC2018\masks\654.png,2
./processed/ISIC2018\images\236.png,./processed/ISIC2018\masks\236.png,2
./processed/ISIC2018\images\166.png,./processed/ISIC2018\masks\166.png,2
./processed/ISIC2018\images\686.png,./processed/ISIC2018\masks\686.png,2
./processed/ISIC2018\images\828.png,./processed/ISIC2018\masks\828.png,2
./processed/ISIC2018\images\348.png,./processed/ISIC2018\masks\348.png,2
./processed/ISIC2018\images\16.png,./processed/ISIC2018\masks\16.png,2
./processed/ISIC2018\images\864.png,./processed/ISIC2018\masks\864.png,2
./processed/ISIC2018\images\268.png,./processed/ISIC2018\masks\268.png,2
./processed/ISIC2018\images\342.png,./processed/ISIC2018\masks\342.png,2
./processed/ISIC2018\images\691.png,./processed/ISIC2018\masks\691.png,2
./processed/ISIC2018\images\595.png,./processed/ISIC2018\masks\595.png,2
./processed/ISIC2018\images\310.png,./processed/ISIC2018\masks\310.png,2
./processed/ISIC2018\images\178.png,./processed/ISIC2018\masks\178.png,2
./processed/ISIC2018\images\777.png,./processed/ISIC2018\masks\777.png,2
./processed/ISIC2018\images\203.png,./processed/ISIC2018\masks\203.png,2
./processed/ISIC2018\images\210.png,./processed/ISIC2018\masks\210.png,2
./processed/ISIC2018\images\773.png,./processed/ISIC2018\masks\773.png,2
./processed/ISIC2018\images\359.png,./processed/ISIC2018\masks\359.png,2
./processed/ISIC2018\images\312.png,./processed/ISIC2018\masks\312.png,2
./processed/ISIC2018\images\0.png,./processed/ISIC2018\masks\0.png,2
./processed/ISIC2018\images\90.png,./processed/ISIC2018\masks\90.png,2
./processed/ISIC2018\images\884.png,./processed/ISIC2018\masks\884.png,2
./processed/ISIC2018\images\794.png,./processed/ISIC2018\masks\794.png,2
./processed/ISIC2018\images\454.png,./processed/ISIC2018\masks\454.png,2
./processed/ISIC2018\images\573.png,./processed/ISIC2018\masks\573.png,2
./processed/ISIC2018\images\211.png,./processed/ISIC2018\masks\211.png,2
./processed/ISIC2018\images\349.png,./processed/ISIC2018\masks\349.png,2
./processed/ISIC2018\images\717.png,./processed/ISIC2018\masks\717.png,2
./processed/ISIC2018\images\202.png,./processed/ISIC2018\masks\202.png,2
./processed/ISIC2018\images\303.png,./processed/ISIC2018\masks\303.png,2
./processed/ISIC2018\images\655.png,./processed/ISIC2018\masks\655.png,2
./processed/ISIC2018\images\685.png,./processed/ISIC2018\masks\685.png,2
./processed/ISIC2018\images\79.png,./processed/ISIC2018\masks\79.png,2
./processed/ISIC2018\images\560.png,./processed/ISIC2018\masks\560.png,2
./processed/ISIC2018\images\345.png,./processed/ISIC2018\masks\345.png,2
./processed/ISIC2018\images\385.png,./processed/ISIC2018\masks\385.png,2
./processed/ISIC2018\images\640.png,./processed/ISIC2018\masks\640.png,2
./processed/ISIC2018\images\228.png,./processed/ISIC2018\masks\228.png,2
./processed/ISIC2018\images\666.png,./processed/ISIC2018\masks\666.png,2
./processed/ISIC2018\images\598.png,./processed/ISIC2018\masks\598.png,2
./processed/ISIC2018\images\97.png,./processed/ISIC2018\masks\97.png,2
./processed/ISIC2018\images\673.png,./processed/ISIC2018\masks\673.png,2
./processed/ISIC2018\images\430.png,./processed/ISIC2018\masks\430.png,2
./processed/ISIC2018\images\34.png,./processed/ISIC2018\masks\34.png,2
./processed/ISIC2018\images\736.png,./processed/ISIC2018\masks\736.png,2
./processed/ISIC2018\images\375.png,./processed/ISIC2018\masks\375.png,2
./processed/ISIC2018\images\48.png,./processed/ISIC2018\masks\48.png,2
./processed/ISIC2018\images\378.png,./processed/ISIC2018\masks\378.png,2
./processed/ISIC2018\images\417.png,./processed/ISIC2018\masks\417.png,2
./processed/ISIC2018\images\14.png,./processed/ISIC2018\masks\14.png,2
./processed/ISIC2018\images\412.png,./processed/ISIC2018\masks\412.png,2
./processed/ISIC2018\images\432.png,./processed/ISIC2018\masks\432.png,2
./processed/ISIC2018\images\613.png,./processed/ISIC2018\masks\613.png,2
./processed/ISIC2018\images\333.png,./processed/ISIC2018\masks\333.png,2
./processed/ISIC2018\images\274.png,./processed/ISIC2018\masks\274.png,2
./processed/ISIC2018\images\99.png,./processed/ISIC2018\masks\99.png,2
./processed/ISIC2018\images\765.png,./processed/ISIC2018\masks\765.png,2
./processed/ISIC2018\images\195.png,./processed/ISIC2018\masks\195.png,2
./processed/ISIC2018\images\151.png,./processed/ISIC2018\masks\151.png,2
./processed/ISIC2018\images\75.png,./processed/ISIC2018\masks\75.png,2
./processed/ISIC2018\images\335.png,./processed/ISIC2018\masks\335.png,2
./processed/ISIC2018\images\838.png,./processed/ISIC2018\masks\838.png,2
./processed/ISIC2018\images\189.png,./processed/ISIC2018\masks\189.png,2
./processed/ISIC2018\images\498.png,./processed/ISIC2018\masks\498.png,2
./processed/ISIC2018\images\54.png,./processed/ISIC2018\masks\54.png,2
./processed/ISIC2018\images\641.png,./processed/ISIC2018\masks\641.png,2
./processed/ISIC2018\images\814.png,./processed/ISIC2018\masks\814.png,2
./processed/ISIC2018\images\671.png,./processed/ISIC2018\masks\671.png,2
./processed/ISIC2018\images\250.png,./processed/ISIC2018\masks\250.png,2
./processed/ISIC2018\images\26.png,./processed/ISIC2018\masks\26.png,2
./processed/ISIC2018\images\372.png,./processed/ISIC2018\masks\372.png,2
./processed/ISIC2018\images\555.png,./processed/ISIC2018\masks\555.png,2
./processed/ISIC2018\images\15.png,./processed/ISIC2018\masks\15.png,2
./processed/ISIC2018\images\868.png,./processed/ISIC2018\masks\868.png,2
./processed/ISIC2018\images\232.png,./processed/ISIC2018\masks\232.png,2
./processed/ISIC2018\images\21.png,./processed/ISIC2018\masks\21.png,2
./processed/ISIC2018\images\859.png,./processed/ISIC2018\masks\859.png,2
./processed/ISIC2018\images\877.png,./processed/ISIC2018\masks\877.png,2
./processed/ISIC2018\images\265.png,./processed/ISIC2018\masks\265.png,2
./processed/ISIC2018\images\630.png,./processed/ISIC2018\masks\630.png,2
./processed/ISIC2018\images\143.png,./processed/ISIC2018\masks\143.png,2
./processed/ISIC2018\images\405.png,./processed/ISIC2018\masks\405.png,2
./processed/ISIC2018\images\50.png,./processed/ISIC2018\masks\50.png,2
./processed/ISIC2018\images\89.png,./processed/ISIC2018\masks\89.png,2
./processed/ISIC2018\images\578.png,./processed/ISIC2018\masks\578.png,2
./processed/ISIC2018\images\388.png,./processed/ISIC2018\masks\388.png,2
./processed/ISIC2018\images\416.png,./processed/ISIC2018\masks\416.png,2
./processed/ISIC2018\images\836.png,./processed/ISIC2018\masks\836.png,2
./processed/ISIC2018\images\226.png,./processed/ISIC2018\masks\226.png,2
./processed/ISIC2018\images\521.png,./processed/ISIC2018\masks\521.png,2
./processed/ISIC2018\images\458.png,./processed/ISIC2018\masks\458.png,2
./processed/ISIC2018\images\600.png,./processed/ISIC2018\masks\600.png,2
./processed/ISIC2018\images\387.png,./processed/ISIC2018\masks\387.png,2
./processed/ISIC2018\images\115.png,./processed/ISIC2018\masks\115.png,2
./processed/ISIC2018\images\747.png,./processed/ISIC2018\masks\747.png,2
./processed/ISIC2018\images\731.png,./processed/ISIC2018\masks\731.png,2
./processed/ISIC2018\images\465.png,./processed/ISIC2018\masks\465.png,2
./processed/ISIC2018\images\759.png,./processed/ISIC2018\masks\759.png,2
./processed/ISIC2018\images\132.png,./processed/ISIC2018\masks\132.png,2
./processed/ISIC2018\images\256.png,./processed/ISIC2018\masks\256.png,2
./processed/ISIC2018\images\319.png,./processed/ISIC2018\masks\319.png,2
./processed/ISIC2018\images\761.png,./processed/ISIC2018\masks\761.png,2
./processed/ISIC2018\images\637.png,./processed/ISIC2018\masks\637.png,2
./processed/ISIC2018\images\701.png,./processed/ISIC2018\masks\701.png,2
./processed/ISIC2018\images\783.png,./processed/ISIC2018\masks\783.png,2
./processed/ISIC2018\images\237.png,./processed/ISIC2018\masks\237.png,2
./processed/ISIC2018\images\357.png,./processed/ISIC2018\masks\357.png,2
./processed/ISIC2018\images\581.png,./processed/ISIC2018\masks\581.png,2
./processed/ISIC2018\images\113.png,./processed/ISIC2018\masks\113.png,2
./processed/ISIC2018\images\212.png,./processed/ISIC2018\masks\212.png,2
./processed/ISIC2018\images\389.png,./processed/ISIC2018\masks\389.png,2
./processed/ISIC2018\images\328.png,./processed/ISIC2018\masks\328.png,2
./processed/ISIC2018\images\628.png,./processed/ISIC2018\masks\628.png,2
./processed/ISIC2018\images\866.png,./processed/ISIC2018\masks\866.png,2
./processed/ISIC2018\images\27.png,./processed/ISIC2018\masks\27.png,2
./processed/ISIC2018\images\201.png,./processed/ISIC2018\masks\201.png,2
./processed/ISIC2018\images\593.png,./processed/ISIC2018\masks\593.png,2
./processed/ISIC2018\images\260.png,./processed/ISIC2018\masks\260.png,2
./processed/ISIC2018\images\37.png,./processed/ISIC2018\masks\37.png,2
./processed/ISIC2018\images\706.png,./processed/ISIC2018\masks\706.png,2
./processed/ISIC2018\images\67.png,./processed/ISIC2018\masks\67.png,2
./processed/ISIC2018\images\738.png,./processed/ISIC2018\masks\738.png,2
./processed/ISIC2018\images\7.png,./processed/ISIC2018\masks\7.png,2
./processed/ISIC2018\images\789.png,./processed/ISIC2018\masks\789.png,2
./processed/ISIC2018\images\564.png,./processed/ISIC2018\masks\564.png,2
./processed/ISIC2018\images\882.png,./processed/ISIC2018\masks\882.png,2
./processed/ISIC2018\images\139.png,./processed/ISIC2018\masks\139.png,2
./processed/ISIC2018\images\821.png,./processed/ISIC2018\masks\821.png,2
./processed/ISIC2018\images\24.png,./processed/ISIC2018\masks\24.png,2
